downloaded,data_id,item_kind,category,item_id,item_definition,english_gloss,uni_lemma,child_id,age,value
2023-03-30,66592,word,animals,item_42,FROG,frog,frog,58250,18,understands
2023-03-30,66592,word,animals,item_43,GIRAFFE,giraffe,giraffe,58250,18,understands
2023-03-30,66592,word,animals,item_44,HEN,hen,hen,58250,18,NA
2023-03-30,66592,word,animals,item_45,HORSE,horse,horse,58250,18,produces
2023-03-30,66592,word,animals,item_46,LION,lion,lion,58250,18,understands
2023-03-30,66592,word,animals,item_47,MONKEY,monkey,monkey,58250,18,understands
2023-03-30,66592,word,animals,item_48,MOUSE,mouse,mouse,58250,18,produces
2023-03-30,66592,word,animals,item_49,OWL,owl,owl,58250,18,produces
2023-03-30,66592,word,animals,item_50,PIG,pig,pig,58250,18,produces
2023-03-30,66592,word,animals,item_51,ROOSTER,rooster,rooster,58250,18,NA
2023-03-30,66592,word,animals,item_52,SHEEP,sheep,sheep,58250,18,NA
2023-03-30,66592,word,animals,item_53,SKUNK,skunk,skunk,58250,18,NA
2023-03-30,66592,word,animals,item_54,SNAKE,snake,snake,58250,18,understands
2023-03-30,66592,word,animals,item_55,SPIDER,spider,spider,58250,18,produces
2023-03-30,66592,word,animals,item_56,SQUIRREL,squirrel,squirrel,58250,18,NA
2023-03-30,66592,word,animals,item_57,TIGER,tiger,tiger,58250,18,NA
2023-03-30,66592,word,animals,item_58,TURKEY,turkey,turkey,58250,18,NA
2023-03-30,66592,word,animals,item_59,TURTLE,turtle,turtle,58250,18,produces
2023-03-30,66592,word,animals,item_60,WOLF,wolf,wolf,58250,18,NA
2023-03-30,66592,word,animals,item_61,ZEBRA,zebra,zebra,58250,18,NA
2023-03-30,66592,word,clothing,item_62,BELT,belt,belt,58250,18,NA
2023-03-30,66592,word,clothing,item_63,BIB,bib,bib,58250,18,NA
2023-03-30,66592,word,clothing,item_64,BOOT,boot,boots,58250,18,NA
2023-03-30,66592,word,clothing,item_65,BUTTON,button,button,58250,18,NA
2023-03-30,66592,word,clothing,item_66,COAT/JACKET,coat/jacket,coat,58250,18,understands
2023-03-30,66592,word,clothing,item_67,DIAPER,diaper,diaper,58250,18,produces
2023-03-30,66592,word,clothing,item_68,DRESS/CLOTHES,dress/clothes,dress (object),58250,18,produces
2023-03-30,66592,word,clothing,item_69,EARRING,earring,earring,58250,18,understands
2023-03-30,66592,word,clothing,item_70,GLASSES,glasses,glasses,58250,18,produces
2023-03-30,66592,word,clothing,item_71,GLOVES,gloves,glove,58250,18,NA
2023-03-30,66592,word,clothing,item_72,HAT,hat,hat,58250,18,produces
2023-03-30,66592,word,clothing,item_73,HEARING AID,hearing aid,NA,58250,18,NA
2023-03-30,66592,word,clothing,item_74,NECKLACE,necklace,necklace,58250,18,NA
2023-03-30,66592,word,clothing,item_75,PAJAMAS,pajamas,pajamas,58250,18,understands
2023-03-30,66592,word,clothing,item_76,PANTS,pants,pants,58250,18,understands
2023-03-30,66592,word,clothing,item_77,SANDAL,sandal,sandal,58250,18,NA
2023-03-30,66592,word,clothing,item_78,SCARF,scarf,scarf,58250,18,NA
2023-03-30,66592,word,clothing,item_79,SHIRT,shirt,shirt,58250,18,understands
2023-03-30,66592,word,clothing,item_80,SHOE,shoe,shoe,58250,18,produces
2023-03-30,66592,word,clothing,item_81,SNOWSUIT,snowsuit,snowsuit,58250,18,NA
2023-03-30,66592,word,clothing,item_82,SOCK,sock,sock,58250,18,understands
2023-03-30,66592,word,clothing,item_83,SWEATER,sweater,sweater,58250,18,NA
2023-03-30,66592,word,clothing,item_84,SWIMSUIT,swimsuit,swimsuit,58250,18,NA
2023-03-30,66592,word,clothing,item_85,UNDERPANTS,underpants,underpants,58250,18,NA
2023-03-30,66592,word,clothing,item_86,WRISTWATCH,wristwatch,watch (object),58250,18,NA
2023-03-30,66592,word,clothing,item_87,ZIPPER,zipper,zipper,58250,18,NA
2023-03-30,66592,word,time_words,item_88,AFTER,after,after,58250,18,NA
2023-03-30,66592,word,time_words,item_89,BEFORE,before,before,58250,18,NA
2023-03-30,66592,word,time_words,item_90,DAY,day,day,58250,18,NA
2023-03-30,66592,word,time_words,item_91,LATER,later,later,58250,18,NA
2023-03-30,66592,word,time_words,item_92,MORNING,morning,morning,58250,18,NA
2023-03-30,66592,word,time_words,item_93,NIGHT,night,night,58250,18,NA
2023-03-30,66592,word,time_words,item_94,NOT-YET,not-yet,NA,58250,18,NA
2023-03-30,66592,word,time_words,item_95,NOW,now,now,58250,18,NA
2023-03-30,66592,word,time_words,item_96,SOON,soon,soon,58250,18,NA
2023-03-30,66592,word,time_words,item_97,TIME,time,time,58250,18,NA
2023-03-30,66592,word,time_words,item_98,TODAY,today,today,58250,18,NA
2023-03-30,66592,word,time_words,item_99,TOMORROW,tomorrow,tomorrow,58250,18,NA
2023-03-30,66592,word,time_words,item_100,TONIGHT,tonight,tonight,58250,18,NA
2023-03-30,66592,word,time_words,item_101,YESTERDAY,yesterday,yesterday,58250,18,NA
2023-03-30,66592,word,action_words,item_102,AWAY,away,away,58250,18,NA
2023-03-30,66592,word,action_words,item_103,BITE,bite,bite,58250,18,produces
2023-03-30,66592,word,action_words,item_104,BLOW,blow,blow,58250,18,NA
2023-03-30,66592,word,action_words,item_105,BREAK,break,break,58250,18,produces
2023-03-30,66592,word,action_words,item_106,BRING/CARRY,bring/carry,bring,58250,18,understands
2023-03-30,66592,word,action_words,item_107,BUILD,build,build,58250,18,understands
2023-03-30,66592,word,action_words,item_108,BUY,buy,buy,58250,18,NA
2023-03-30,66592,word,action_words,item_109,CATCH,catch,catch,58250,18,understands
2023-03-30,66592,word,action_words,item_110,CHASE,chase,chase,58250,18,NA
2023-03-30,66592,word,action_words,item_111,CHAT,chat,talk,58250,18,NA
2023-03-30,66592,word,action_words,item_112,CLAP,clap,clap,58250,18,produces
2023-03-30,66592,word,action_words,item_113,CLEAN,clean,clean (action),58250,18,NA
2023-03-30,66592,word,action_words,item_114,CLIMB,climb,climb,58250,18,produces
2023-03-30,66592,word,action_words,item_115,CLOSE,close,close,58250,18,understands
2023-03-30,66592,word,action_words,item_116,COOK,cook,cook,58250,18,understands
2023-03-30,66592,word,action_words,item_117,CRY,cry,cry,58250,18,produces
2023-03-30,66592,word,action_words,item_118,CUT,cut,cut,58250,18,NA
2023-03-30,66592,word,action_words,item_119,DANCE,dance,dance,58250,18,understands
2023-03-30,66592,word,action_words,item_120,DRAW,draw,draw,58250,18,NA
2023-03-30,66592,word,action_words,item_121,DRINK,drink,drink (action),58250,18,produces
2023-03-30,66592,word,action_words,item_122,DROP,drop,drop,58250,18,produces
2023-03-30,66592,word,action_words,item_123,EAT,eat,eat,58250,18,produces
2023-03-30,66592,word,action_words,item_124,ENTER,enter,enter,58250,18,NA
2023-03-30,66592,word,action_words,item_125,FALL,fall,fall,58250,18,understands
2023-03-30,66592,word,action_words,item_126,FEED,feed,feed,58250,18,NA
2023-03-30,66592,word,action_words,item_127,FIND,find,find,58250,18,understands
2023-03-30,66592,word,action_words,item_128,FINISH,finish,finish,58250,18,produces
2023-03-30,66592,word,action_words,item_129,FIX,fix,fix,58250,18,NA
2023-03-30,66592,word,action_words,item_130,GET/TAKE,get/take,take,58250,18,understands
2023-03-30,66592,word,action_words,item_131,GET-A-SHOT,get-a-shot,NA,58250,18,NA
2023-03-30,66592,word,action_words,item_132,GIVE,give,give,58250,18,understands
2023-03-30,66592,word,action_words,item_133,GO,go,go,58250,18,produces
2023-03-30,66592,word,action_words,item_134,HAVE,have,have,58250,18,NA
2023-03-30,66592,word,action_words,item_135,HEAR,hear,hear,58250,18,understands
2023-03-30,66592,word,action_words,item_136,HELP,help,help,58250,18,NA
2023-03-30,66592,word,action_words,item_137,HIDE,hide,hide,58250,18,NA
2023-03-30,66592,word,action_words,item_138,HIT,hit,hit,58250,18,understands
2023-03-30,66592,word,action_words,item_139,HOLD,hold,hold,58250,18,understands
2023-03-30,66592,word,action_words,item_140,HUG,hug,hug,58250,18,NA
2023-03-30,66592,word,action_words,item_141,HURRY,hurry,hurry,58250,18,understands
2023-03-30,66592,word,action_words,item_142,JUMP,jump,jump,58250,18,NA
2023-03-30,66592,word,action_words,item_143,KICK,kick,kick,58250,18,NA
2023-03-30,66592,word,action_words,item_144,KISS,kiss,kiss,58250,18,produces
2023-03-30,66592,word,action_words,item_145,KNOCK,knock,knock,58250,18,NA
2023-03-30,66592,word,action_words,item_146,LEARN,learn,learn,58250,18,NA
2023-03-30,66592,word,action_words,item_147,LICK,lick,lick,58250,18,NA
2023-03-30,66592,word,action_words,item_148,LIKE,like,like,58250,18,NA
2023-03-30,66592,word,action_words,item_149,LOOK,look,look,58250,18,understands
2023-03-30,66592,word,action_words,item_150,LOVE,love,love,58250,18,NA
2023-03-30,66592,word,action_words,item_151,MAKE,make,make,58250,18,NA
2023-03-30,66592,word,action_words,item_152,NEED,need,need,58250,18,NA
2023-03-30,66592,word,action_words,item_153,OPEN,open,open (action),58250,18,produces
2023-03-30,66592,word,action_words,item_154,PAINT,paint,paint (action),58250,18,understands
2023-03-30,66592,word,action_words,item_155,PICK/CHOOSE,pick/choose,pick,58250,18,NA
2023-03-30,66592,word,action_words,item_156,PLAY,play,play,58250,18,produces
2023-03-30,66592,word,action_words,item_157,POUR,pour,pour,58250,18,NA
2023-03-30,66592,word,action_words,item_158,PULL,pull,pull,58250,18,understands
2023-03-30,66592,word,action_words,item_159,PUSH,push,push,58250,18,understands
2023-03-30,66592,word,action_words,item_160,PUT,put,put,58250,18,NA
2023-03-30,66592,word,action_words,item_161,READ,read,read,58250,18,understands
2023-03-30,66592,word,action_words,item_162,RIDE-IN,ride-in,ride,58250,18,understands
2023-03-30,66592,word,action_words,item_163,RUN,run,run,58250,18,NA
2023-03-30,66592,word,action_words,item_164,SAY,say,say,58250,18,NA
2023-03-30,66592,word,action_words,item_165,SEARCH-FOR,search-for,look,58250,18,NA
2023-03-30,66592,word,action_words,item_166,SEE,see,see,58250,18,NA
2023-03-30,66592,word,action_words,item_167,SHAKE,shake,shake,58250,18,understands
2023-03-30,66592,word,action_words,item_168,SHARE,share,share,58250,18,NA
2023-03-30,66592,word,action_words,item_169,SHOW,show,show,58250,18,NA
2023-03-30,66592,word,action_words,item_170,SIGN,sign,sign (action),58250,18,NA
2023-03-30,66592,word,action_words,item_171,SIT,sit,sit,58250,18,produces
2023-03-30,66592,word,action_words,item_172,SKATE,skate,skate (action),58250,18,NA
2023-03-30,66592,word,action_words,item_173,SLEEP,sleep,sleep,58250,18,produces
2023-03-30,66592,word,action_words,item_174,SLIDE,slide,slide (action),58250,18,NA
2023-03-30,66592,word,action_words,item_175,SMILE,smile,smile,58250,18,NA
2023-03-30,66592,word,action_words,item_176,SPILL,spill,spill,58250,18,NA
2023-03-30,66592,word,action_words,item_177,STAND,stand,stand,58250,18,produces
2023-03-30,66592,word,action_words,item_178,STAY,stay,stay,58250,18,NA
2023-03-30,66592,word,action_words,item_179,STOP,stop,stop,58250,18,NA
2023-03-30,66592,word,action_words,item_180,SWIM,swim,swim,58250,18,NA
2023-03-30,66592,word,action_words,item_181,SWING,swing,swing (action),58250,18,produces
2023-03-30,66592,word,action_words,item_182,TAKE-PILL,take-pill,NA,58250,18,NA
2023-03-30,66592,word,action_words,item_183,TALK,talk,talk,58250,18,NA
2023-03-30,66592,word,action_words,item_184,TASTE,taste,taste,58250,18,NA
2023-03-30,66592,word,action_words,item_185,TEACH,teach,teach,58250,18,NA
2023-03-30,66592,word,action_words,item_186,TEAR/RIP,tear/rip,tear,58250,18,NA
2023-03-30,66592,word,action_words,item_187,TELL,tell,tell,58250,18,NA
2023-03-30,66592,word,action_words,item_188,THINK,think,think,58250,18,NA
2023-03-30,66592,word,action_words,item_189,THROW,throw,throw,58250,18,produces
2023-03-30,66592,word,action_words,item_190,TOUCH,touch,touch,58250,18,NA
2023-03-30,66592,word,action_words,item_191,WAIT,wait,wait,58250,18,NA
2023-03-30,66592,word,action_words,item_192,WALK,walk,walk,58250,18,NA
2023-03-30,66592,word,action_words,item_193,WASH,wash,wash,58250,18,produces
2023-03-30,66592,word,action_words,item_194,WATCH,watch,watch (action),58250,18,NA
2023-03-30,66592,word,action_words,item_195,WORK,work,work (action),58250,18,understands
2023-03-30,66592,word,furniture_rooms,item_196,BASEMENT,basement,basement,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_197,BATHROOM/TOILET,bathroom/toilet,bathroom,58250,18,understands
2023-03-30,66592,word,furniture_rooms,item_198,BATHTUB,bathtub,bathtub,58250,18,produces
2023-03-30,66592,word,furniture_rooms,item_199,BED,bed,bed,58250,18,produces
2023-03-30,66592,word,furniture_rooms,item_200,BEDROOM,bedroom,bedroom,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_201,CLOSET,closet,closet,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_202,DOOR,door,door,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_203,DRAWER,drawer,drawer,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_204,DRYER,dryer,dryer,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_205,GARAGE,garage,garage,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_206,KITCHEN,kitchen,kitchen,58250,18,understands
2023-03-30,66592,word,furniture_rooms,item_207,LIVING ROOM,living room,living room,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_208,MIRROR,mirror,mirror,58250,18,understands
2023-03-30,66592,word,furniture_rooms,item_209,REFRIGERATOR,refrigerator,refrigerator,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_210,ROCKING CHAIR,rocking chair,rocking chair,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_211,ROOM,room,room,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_212,SHOWER,shower,shower,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_213,STAIRS,stairs,stairs,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_214,TABLE,table,table,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_215,TV,tv,tv,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_216,WASH MACHINE,wash machine,washing machine,58250,18,NA
2023-03-30,66592,word,furniture_rooms,item_217,WINDOW,window,window,58250,18,NA
2023-03-30,66592,word,toys,item_218,BALL,ball,ball,58250,18,produces
2023-03-30,66592,word,toys,item_219,BALLOON,balloon,balloon,58250,18,produces
2023-03-30,66592,word,toys,item_220,BAT,bat,bat (object),58250,18,NA
2023-03-30,66592,word,toys,item_221,BOOK,book,book,58250,18,produces
2023-03-30,66592,word,toys,item_222,BUBBLES,bubbles,bubbles,58250,18,NA
2023-03-30,66592,word,toys,item_223,DOLL,doll,doll,58250,18,understands
2023-03-30,66592,word,toys,item_224,GAME,game,game,58250,18,NA
2023-03-30,66592,word,toys,item_225,PENCIL,pencil,pencil,58250,18,NA
2023-03-30,66592,word,toys,item_226,PRESENT/GIFT,present/gift,present,58250,18,NA
2023-03-30,66592,word,toys,item_227,PUZZLE,puzzle,puzzle,58250,18,NA
2023-03-30,66592,word,toys,item_228,ROBOT,robot,robot,58250,18,NA
2023-03-30,66592,word,toys,item_229,TOY,toy,toy (object),58250,18,understands
2023-03-30,66592,word,people,item_230,AUNT,aunt,aunt,58250,18,produces
2023-03-30,66592,word,people,item_231,BABY,baby,baby,58250,18,produces
2023-03-30,66592,word,people,item_232,BABYSITTER,babysitter,babysitter,58250,18,NA
2023-03-30,66592,word,people,item_233,BOY,boy,boy,58250,18,NA
2023-03-30,66592,word,people,item_234,BROTHER,brother,brother,58250,18,NA
2023-03-30,66592,word,people,item_235,CHILD/KID,child/kid,child,58250,18,NA
2023-03-30,66592,word,people,item_236,Child's Own Name,child's own name,child's own name,58250,18,produces
2023-03-30,66592,word,people,item_237,CLOWN,clown,clown,58250,18,produces
2023-03-30,66592,word,people,item_238,COWBOY,cowboy,cowboy,58250,18,NA
2023-03-30,66592,word,people,item_239,COUSIN,cousin,cousin,58250,18,NA
2023-03-30,66592,word,people,item_240,DADDY,daddy,daddy,58250,18,produces
2023-03-30,66592,word,people,item_241,DOCTOR,doctor,doctor,58250,18,NA
2023-03-30,66592,word,people,item_242,FIREMAN,fireman,fireman,58250,18,NA
2023-03-30,66592,word,people,item_243,FRIEND,friend,friend,58250,18,NA
2023-03-30,66592,word,people,item_244,GIRL,girl,girl,58250,18,NA
2023-03-30,66592,word,people,item_245,GRANDMA,grandma,grandma,58250,18,produces
2023-03-30,66592,word,people,item_246,GRANDPA,grandpa,grandpa,58250,18,produces
2023-03-30,66592,word,people,item_247,INDIAN,indian,NA,58250,18,NA
2023-03-30,66592,word,people,item_248,MAILMAN,mailman,mailman,58250,18,NA
2023-03-30,66592,word,people,item_249,MAN,man,man,58250,18,NA
2023-03-30,66592,word,people,item_250,MOMMY,mommy,mommy,58250,18,produces
2023-03-30,66592,word,people,item_251,MONSTER,monster,monster,58250,18,NA
2023-03-30,66592,word,people,item_252,NAME SIGNS,name signs,NA,58250,18,produces
2023-03-30,66592,word,people,item_253,NURSE,nurse,nurse,58250,18,NA
2023-03-30,66592,word,people,item_254,PEOPLE,people,people,58250,18,NA
2023-03-30,66592,word,people,item_255,POLICE,police,policeman,58250,18,NA
2023-03-30,66592,word,people,item_256,SANTA CLAUS,santa claus,santa claus,58250,18,NA
2023-03-30,66592,word,people,item_257,SISTER,sister,sister,58250,18,NA
2023-03-30,66592,word,people,item_258,TEACHER,teacher,teacher,58250,18,NA
2023-03-30,66592,word,people,item_259,UNCLE,uncle,uncle,58250,18,NA
2023-03-30,66592,word,people,item_260,WOMAN,woman,woman,58250,18,NA
2023-03-30,66592,word,food_drink,item_261,APPLE,apple,apple,58250,18,understands
2023-03-30,66592,word,food_drink,item_262,BAGEL,bagel,bagel,58250,18,NA
2023-03-30,66592,word,food_drink,item_263,BANANA,banana,banana,58250,18,produces
2023-03-30,66592,word,food_drink,item_264,BEANS,beans,beans,58250,18,NA
2023-03-30,66592,word,food_drink,item_265,BREAD,bread,bread,58250,18,NA
2023-03-30,66592,word,food_drink,item_266,BUTTER,butter,butter,58250,18,NA
2023-03-30,66592,word,food_drink,item_267,CAKE,cake,cake,58250,18,NA
2023-03-30,66592,word,food_drink,item_268,CANDY,candy,candy,58250,18,produces
2023-03-30,66592,word,food_drink,item_269,CARROT,carrot,carrots,58250,18,NA
2023-03-30,66592,word,food_drink,item_270,CEREAL,cereal,cereal,58250,18,NA
2023-03-30,66592,word,food_drink,item_271,CHEESE,cheese,cheese,58250,18,understands
2023-03-30,66592,word,food_drink,item_272,CHOCOLATE,chocolate,chocolate,58250,18,NA
2023-03-30,66592,word,food_drink,item_273,COFFEE,coffee,coffee,58250,18,NA
2023-03-30,66592,word,food_drink,item_274,COKE,coke,soda,58250,18,NA
2023-03-30,66592,word,food_drink,item_275,COOKIE,cookie,cookie,58250,18,produces
2023-03-30,66592,word,food_drink,item_276,CORN,corn,corn,58250,18,NA
2023-03-30,66592,word,food_drink,item_277,CRACKER,cracker,cracker,58250,18,produces
2023-03-30,66592,word,food_drink,item_278,CREAM CHEESE,cream cheese,cream cheese,58250,18,NA
2023-03-30,66592,word,food_drink,item_279,DONUT,donut,donut,58250,18,NA
2023-03-30,66592,word,food_drink,item_280,EGG,egg,egg,58250,18,NA
2023-03-30,66592,word,food_drink,item_281,FRENCH FRIES,french fries,french fries,58250,18,NA
2023-03-30,66592,word,food_drink,item_282,GRAPES,grapes,grapes,58250,18,NA
2023-03-30,66592,word,food_drink,item_283,GREEN BEANS,green beans,green beans,58250,18,NA
2023-03-30,66592,word,food_drink,item_284,GUM,gum,gum,58250,18,NA
2023-03-30,66592,word,food_drink,item_285,HAMBURGER,hamburger,hamburger,58250,18,NA
2023-03-30,66592,word,food_drink,item_286,HOT DOG,hot dog,hot dog,58250,18,NA
2023-03-30,66592,word,food_drink,item_287,ICE,ice,ice,58250,18,NA
2023-03-30,66592,word,food_drink,item_288,ICE CREAM,ice cream,ice cream,58250,18,NA
2023-03-30,66592,word,food_drink,item_289,JELLY,jelly,jelly,58250,18,NA
2023-03-30,66592,word,food_drink,item_290,JUICE,juice,juice,58250,18,understands
2023-03-30,66592,word,food_drink,item_291,LOLLIPOP,lollipop,lollipop,58250,18,NA
2023-03-30,66592,word,food_drink,item_292,MEAT,meat,meat,58250,18,NA
2023-03-30,66592,word,food_drink,item_293,MILK,milk,milk,58250,18,produces
2023-03-30,66592,word,food_drink,item_294,NUT,nut,nut,58250,18,NA
2023-03-30,66592,word,food_drink,item_295,ORANGE,orange,orange (food),58250,18,NA
2023-03-30,66592,word,food_drink,item_296,PANCAKE,pancake,pancake,58250,18,NA
2023-03-30,66592,word,food_drink,item_297,PEANUT BUTTER,peanut butter,peanut butter,58250,18,NA
2023-03-30,66592,word,food_drink,item_298,PIZZA,pizza,pizza,58250,18,NA
2023-03-30,66592,word,food_drink,item_299,POPSICLE,popsicle,popsicle,58250,18,NA
2023-03-30,66592,word,food_drink,item_300,POTATO,potato,potato,58250,18,NA
2023-03-30,66592,word,food_drink,item_301,POTATO CHIPS,potato chips,chips,58250,18,NA
2023-03-30,66592,word,food_drink,item_302,PUMPKIN,pumpkin,pumpkin,58250,18,NA
2023-03-30,66592,word,food_drink,item_303,SALAD,salad,salad,58250,18,NA
2023-03-30,66592,word,food_drink,item_304,SALT,salt,salt,58250,18,NA
2023-03-30,66592,word,food_drink,item_305,SANDWICH,sandwich,sandwich,58250,18,NA
2023-03-30,66592,word,food_drink,item_306,SAUCE,sauce,sauce,58250,18,NA
2023-03-30,66592,word,food_drink,item_307,SODA/POP,soda/pop,soda,58250,18,NA
2023-03-30,66592,word,food_drink,item_308,SOUP,soup,soup,58250,18,NA
2023-03-30,66592,word,food_drink,item_309,SPAGHETTI,spaghetti,spaghetti,58250,18,NA
2023-03-30,66592,word,food_drink,item_310,STRAWBERRY,strawberry,strawberry,58250,18,NA
2023-03-30,66592,word,food_drink,item_311,SYRUP,syrup,syrup,58250,18,NA
2023-03-30,66592,word,food_drink,item_312,TEA,tea,tea,58250,18,NA
2023-03-30,66592,word,food_drink,item_313,TOAST,toast,toast,58250,18,NA
2023-03-30,66592,word,food_drink,item_314,TOMATO,tomato,tomato,58250,18,NA
2023-03-30,66592,word,food_drink,item_315,VANILLA,vanilla,vanilla,58250,18,NA
2023-03-30,66592,word,food_drink,item_316,VITAMINS,vitamins,vitamin,58250,18,NA
2023-03-30,66592,word,food_drink,item_317,WAFFLE,waffle,waffle,58250,18,NA
2023-03-30,66592,word,food_drink,item_318,WATER,water,water (beverage),58250,18,NA
2023-03-30,66592,word,food_drink,item_319,WATERMELON,watermelon,watermelon,58250,18,NA
2023-03-30,66592,word,locations,item_320,ABOVE,above,above,58250,18,NA
2023-03-30,66592,word,locations,item_321,BACK,back,back,58250,18,NA
2023-03-30,66592,word,locations,item_322,BEHIND,behind,behind,58250,18,NA
2023-03-30,66592,word,locations,item_323,DOWN,down,down,58250,18,NA
2023-03-30,66592,word,locations,item_324,FOR,for,for,58250,18,NA
2023-03-30,66592,word,locations,item_325,FRONT,front,front,58250,18,NA
2023-03-30,66592,word,locations,item_326,HERE,here,here,58250,18,NA
2023-03-30,66592,word,locations,item_327,INSIDE/IN,inside/in,in,58250,18,NA
2023-03-30,66592,word,locations,item_328,NEXT-TO,next-to,beside,58250,18,NA
2023-03-30,66592,word,locations,item_329,OFF,off,off,58250,18,NA
2023-03-30,66592,word,locations,item_330,ON,on,on,58250,18,NA
2023-03-30,66592,word,locations,item_331,OUT,out,out,58250,18,NA
2023-03-30,66592,word,locations,item_332,OVER,over,above,58250,18,NA
2023-03-30,66592,word,locations,item_333,TO,to,to,58250,18,NA
2023-03-30,66592,word,locations,item_334,UNDER,under,under,58250,18,NA
2023-03-30,66592,word,locations,item_335,UP,up,up,58250,18,NA
2023-03-30,66592,word,locations,item_336,WITH,with,with,58250,18,NA
2023-03-30,66592,word,outside,item_337,BACKYARD/YARD,backyard/yard,yard,58250,18,NA
